"state","total_sales","sales_rank"
"California","457687.68","1"
"New York","310876.20","2"
"Texas","170187.98","3"
"Washington","138641.29","4"
"Pennsylvania","116512.02","5"
"Florida","89473.73","6"
"Illinois","80166.16","7"
"Ohio","78258.21","8"
"Michigan","76269.61","9"
"Virginia","70636.72","10"
"North Carolina","55603.09","11"
"Indiana","53555.36","12"
"Georgia","49095.84","13"
"Kentucky","36591.75","14"
"New Jersey","35764.32","15"
"Arizona","35282.02","16"
"Wisconsin","32114.61","17"
"Colorado","32108.12","18"
"Tennessee","30661.92","19"
"Minnesota","29863.15","20"
"Massachusetts","28634.44","21"
"Delaware","27451.07","22"
"Maryland","23705.52","23"
"Rhode Island","22627.96","24"
"Missouri","22205.15","25"
"Oklahoma","19683.39","26"
"Alabama","19510.64","27"
"Oregon","17431.14","28"
"Nevada","16729.10","29"
"Connecticut","13384.36","30"
"Arkansas","11678.13","31"
"Utah","11220.06","32"
"Mississippi","10771.34","33"
"Louisiana","9217.03","34"
"Vermont","8929.37","35"
"South Carolina","8481.71","36"
"Nebraska","7464.93","37"
"New Hampshire","7292.52","38"
"Montana","5589.35","39"
"New Mexico","4783.54","40"
"Iowa","4579.76","41"
"Idaho","4382.49","42"
"Kansas","2914.31","43"
"District of Columbia","2865.02","44"
"Wyoming","1603.14","45"
"South Dakota","1315.56","46"
"Maine","1270.53","47"
"West Virginia","1209.82","48"
"North Dakota","919.91","49"
